model,checkpoint,seed,episodes,action_replacement_count,action_replacement_rate,avg_original_reward,avg_rec_action_count,avg_reward,avg_safe_action_count,collision_count,collisions,coverage_rate,coverage_ratio,dead_end_rec_count,dead_end_rec_rate,dead_end_safe_count,dead_end_safe_rate,episode_mean_threat_margin,episode_mean_uav_margin,episode_min_threat_margin,episode_min_uav_margin,episode_return,episode_steps,error_rate,found_targets,min_rec_action_count,min_safe_action_count,mode_is_recursive,near_miss_count,near_miss_rate,original_episode_return,perf_future_cache_hit_rate,perf_predict_cache_hit_rate,perf_predict_time_ms,perf_recursive_candidate_checks,perf_recursive_gate_run_rate,perf_recursive_gate_skip_rate,perf_recursive_time_ms,perf_refine_time_ms,perf_rule_mask_time_ms,perf_safe_cache_hit_rate,perf_safe_time_ms,perf_shield_time_ms,perf_shield_time_ratio,perf_stats_time_ms,perf_step_time_ms,perf_steps_per_sec,search_rate,shield_agent_trigger_count,shield_fallback_count,shield_penalty_rate,shield_penalty_sum,shield_trigger_count,shield_trigger_rate,total_steps
off,checkpoints/baseline_mappo_off_dense2000/best.pt,11,20,0.0,0.0,-1070.6311185770494,0.0,-1070.6311185770494,0.0,267.35,267.35,1.0,1.0,0.0,0.0,0.0,0.0,8.649208903347562,9.872774381818815,-2.0,-1.0,-1070.6311185770494,120.0,0.4588154092814623,10.0,0.0,0.0,0.0,117.0,0.975,-1070.6311185770494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006542930398912479,9.74420286671375,102.65043137684043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,12,20,0.0,0.0,-1089.6381185524833,0.0,-1089.6381185524833,0.0,267.1,267.1,1.0,1.0,0.0,0.0,0.0,0.0,9.03647301862666,9.95155695304294,-2.0,-1.0,-1089.6381185524833,120.0,0.45895956867299625,10.0,0.0,0.0,0.0,116.8,0.9733333333333333,-1089.6381185524833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006518707232316956,9.743298256168297,102.6434894581214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,13,20,0.0,0.0,-1100.0448150909785,0.0,-1100.0448150909785,0.0,274.2,274.2,1.0,1.0,0.0,0.0,0.0,0.0,8.873166994679085,9.794566145853334,-2.0,-1.0,-1100.0448150909785,120.0,0.45774483045596537,10.0,0.0,0.0,0.0,115.95,0.9662499999999999,-1100.0448150909785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006515383526372412,9.744227895668399,102.64240687009291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,14,20,0.0,0.0,-1071.589338008359,0.0,-1071.589338008359,0.0,275.7,275.7,1.0,1.0,0.0,0.0,0.0,0.0,8.855318392471853,9.762755875790402,-2.0,-1.0,-1071.589338008359,120.0,0.45826567767486354,10.0,0.0,0.0,0.0,116.5,0.9708333333333334,-1071.589338008359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006509730980421106,9.727664867435426,102.80835783716341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,15,20,0.0,0.0,-1101.0162294306622,0.0,-1101.0162294306622,0.0,269.85,269.85,1.0,1.0,0.0,0.0,0.0,0.0,8.826711822977558,9.8946490971267,-2.0,-1.0,-1101.0162294306622,120.0,0.4578514220107035,10.0,0.0,0.0,0.0,116.45,0.9704166666666667,-1101.0162294306622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006557597613815839,9.746041976710938,102.61863168629804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,16,20,0.0,0.0,-1107.8124770362047,0.0,-1107.8124770362047,0.0,278.0,278.0,1.0,1.0,0.0,0.0,0.0,0.0,8.80653996478259,9.887494807075273,-2.0,-1.0,-1107.8124770362047,120.0,0.45967087645644356,10.0,0.0,0.0,0.0,116.85,0.9737500000000001,-1107.8124770362047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006502929900307208,9.752268476198271,102.5483842891211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,17,20,0.0,0.0,-1094.6622639029456,0.0,-1094.6622639029456,0.0,284.1,284.1,1.0,1.0,0.0,0.0,0.0,0.0,8.912843376724727,9.668543262277812,-2.0,-1.0,-1094.6622639029456,120.0,0.4594943904892731,10.0,0.0,0.0,0.0,117.8,0.9816666666666668,-1094.6622639029456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006564939734137928,9.75324405328138,102.53869746863802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,18,20,0.0,0.0,-1098.7923388749139,0.0,-1098.7923388749139,0.0,281.6,281.6,1.0,1.0,0.0,0.0,0.0,0.0,8.796727241040536,9.912443445934615,-2.0,-1.0,-1098.7923388749139,120.0,0.457679625061135,10.0,0.0,0.0,0.0,117.7,0.9808333333333333,-1098.7923388749139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00652403798691618,9.725266327683736,102.83957389874652,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,19,20,0.0,0.0,-1137.7720973017997,0.0,-1137.7720973017997,0.0,290.5,290.5,1.0,1.0,0.0,0.0,0.0,0.0,8.68546088613623,9.671064746010092,-2.0,-1.0,-1137.7720973017997,120.0,0.4595777660547064,10.0,0.0,0.0,0.0,116.0,0.9666666666666668,-1137.7720973017997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00651499741555502,9.765436643550249,102.40953964107548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
off,checkpoints/baseline_mappo_off_dense2000/best.pt,20,20,0.0,0.0,-1086.9807973728275,0.0,-1086.9807973728275,0.0,287.4,287.4,1.0,1.0,0.0,0.0,0.0,0.0,8.975076270513473,9.960770963589102,-2.0,-1.0,-1086.9807973728275,120.0,0.4590487860287131,10.0,0.0,0.0,0.0,117.2,0.9766666666666669,-1086.9807973728275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064997433219105005,9.699824331037235,103.10558943891745,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
