model,checkpoint,num_seeds,episodes_per_seed,action_replacement_count_mean,action_replacement_count_std,action_replacement_rate_mean,action_replacement_rate_std,avg_original_reward_mean,avg_original_reward_std,avg_rec_action_count_mean,avg_rec_action_count_std,avg_reward_mean,avg_reward_std,avg_safe_action_count_mean,avg_safe_action_count_std,collision_count_mean,collision_count_std,collisions_mean,collisions_std,coverage_rate_mean,coverage_rate_std,coverage_ratio_mean,coverage_ratio_std,dead_end_rec_count_mean,dead_end_rec_count_std,dead_end_rec_rate_mean,dead_end_rec_rate_std,dead_end_safe_count_mean,dead_end_safe_count_std,dead_end_safe_rate_mean,dead_end_safe_rate_std,episode_mean_threat_margin_mean,episode_mean_threat_margin_std,episode_mean_uav_margin_mean,episode_mean_uav_margin_std,episode_min_threat_margin_mean,episode_min_threat_margin_std,episode_min_uav_margin_mean,episode_min_uav_margin_std,episode_return_mean,episode_return_std,episode_steps_mean,episode_steps_std,error_rate_mean,error_rate_std,found_targets_mean,found_targets_std,min_rec_action_count_mean,min_rec_action_count_std,min_safe_action_count_mean,min_safe_action_count_std,mode_is_recursive_mean,mode_is_recursive_std,near_miss_count_mean,near_miss_count_std,near_miss_rate_mean,near_miss_rate_std,original_episode_return_mean,original_episode_return_std,perf_future_cache_hit_rate_mean,perf_future_cache_hit_rate_std,perf_predict_cache_hit_rate_mean,perf_predict_cache_hit_rate_std,perf_predict_time_ms_mean,perf_predict_time_ms_std,perf_recursive_candidate_checks_mean,perf_recursive_candidate_checks_std,perf_recursive_gate_run_rate_mean,perf_recursive_gate_run_rate_std,perf_recursive_gate_skip_rate_mean,perf_recursive_gate_skip_rate_std,perf_recursive_time_ms_mean,perf_recursive_time_ms_std,perf_refine_time_ms_mean,perf_refine_time_ms_std,perf_rule_mask_time_ms_mean,perf_rule_mask_time_ms_std,perf_safe_cache_hit_rate_mean,perf_safe_cache_hit_rate_std,perf_safe_time_ms_mean,perf_safe_time_ms_std,perf_shield_time_ms_mean,perf_shield_time_ms_std,perf_shield_time_ratio_mean,perf_shield_time_ratio_std,perf_stats_time_ms_mean,perf_stats_time_ms_std,perf_step_time_ms_mean,perf_step_time_ms_std,perf_steps_per_sec_mean,perf_steps_per_sec_std,search_rate_mean,search_rate_std,shield_agent_trigger_count_mean,shield_agent_trigger_count_std,shield_fallback_count_mean,shield_fallback_count_std,shield_penalty_rate_mean,shield_penalty_rate_std,shield_penalty_sum_mean,shield_penalty_sum_std,shield_trigger_count_mean,shield_trigger_count_std,shield_trigger_rate_mean,shield_trigger_rate_std,total_steps_mean,total_steps_std
off,checkpoints/baseline_mappo_off_dense2000/best.pt,20,20,0.0,0.0,0.0,0.0,-1094.4705430624235,25.24934566716658,0.0,0.0,-1094.4705430624235,25.24934566716658,0.0,0.0,279.09250000000003,9.896606425942178,279.09250000000003,9.896606425942178,0.99993125,0.00029967430236842456,0.99993125,0.00029967430236842456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.832908706325691,0.10452572523721164,9.805154920757499,0.12397191557807297,-2.0,0.0,-1.0,0.0,-1094.4705430624235,25.24934566716658,120.0,0.0,0.45846096615746945,0.0008013807789035781,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.945,0.6484404367403376,0.9745416666666666,0.005403670306169482,-1094.4705430624235,25.24934566716658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065474412209975226,0.00010479919301181696,9.745797089318026,0.0397909611861268,102.63657266082228,0.3684915011714091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0
safe,checkpoints/baseline_mappo_safe_dense2000/best.pt,20,20,53.3375,1.6200983766426043,0.44447916666666665,0.01350081980535503,-601.886123282002,38.76662127255182,0.0,0.0,-693.103623282002,40.3321999543144,4.2891125,0.056545590781293856,134.10750000000002,9.120146311874608,134.10750000000002,9.120146311874608,0.99984375,0.0002086975982132924,0.99984375,0.0002086975982132924,120.0,0.0,1.0,0.0,73.5525,2.8592164573533094,0.6129375,0.02382680381127757,9.521640905262515,0.1478167001830453,10.790351387907327,0.1204225535996048,-2.0,0.0,-1.0,0.0,-693.103623282002,40.3321999543144,120.0,0.0,0.46410089731608123,0.0008135240625210821,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.45,1.5792403236999744,0.8704166666666666,0.013160336030833138,-601.886123282002,38.76662127255182,0.0,0.0,0.11944919434015301,0.003737519652224677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067060726578347385,1.630502045047663e-05,20.954503218012785,0.23999767600503755,47.808997696358354,0.5462983478970659,1.0,0.0,254.4075,12.066651099207274,73.5525,2.8592164573533094,0.7601458333333333,0.017150414535806385,91.2175,2.0580497442967713,91.2175,2.0580497442967713,0.7601458333333333,0.017150414535806385,120.0,0.0
