split,epoch,phase,mode,episodes,total_steps,episode_return,original_episode_return,avg_reward,avg_original_reward,search_rate,found_targets,coverage_ratio,coverage_rate,error_rate,collision_count,collisions,shield_trigger_count,shield_trigger_rate,action_replacement_count,action_replacement_rate,episode_min_uav_margin,episode_mean_uav_margin,episode_min_threat_margin,episode_mean_threat_margin,near_miss_count,near_miss_rate,avg_safe_action_count,avg_rec_action_count,min_safe_action_count,min_rec_action_count,dead_end_safe_count,dead_end_safe_rate,dead_end_rec_count,dead_end_rec_rate,shield_penalty_sum,shield_penalty_rate,shield_fallback_count,shield_agent_trigger_count
train,0,dense,recursive,1,20.0,-64.34713739554543,-61.14713739554543,-64.34713739554543,-61.14713739554543,1.0,3.0,1.0,1.0,0.3263818327361682,22.0,22.0,16.0,0.8,15.0,0.75,-1.0,4.117308602714847,-2.0,2.089935509107744,18.0,0.9,1.3833333333333333,0.4666666666666667,0.0,0.0,16.0,0.8,18.0,0.9,3.2000000000000006,0.16000000000000003,16.0,45.0
eval,0,dense,recursive,5,20.0,-76.56410756464268,-73.32410756464267,-76.56410756464268,-73.32410756464267,1.0,3.0,0.971875,0.971875,0.3450812873738366,16.8,16.8,16.2,0.8099999999999999,6.4,0.32,-0.6,2.910724043250621,-1.8,2.5117364519855583,15.2,0.76,2.4566666666666666,1.7333333333333332,0.0,0.0,11.0,0.55,14.2,0.71,3.2400000000000007,0.16200000000000003,11.0,37.6
train,1,dense,recursive,1,20.0,-76.80304350621627,-74.40304350621628,-76.80304350621627,-74.40304350621628,1.0,3.0,1.0,1.0,0.32559458745785474,11.0,11.0,12.0,0.6,12.0,0.6,0.0,3.8007097609397915,-1.0,2.2392654916821106,13.0,0.65,3.066666666666667,2.2,0.0,0.0,8.0,0.4,13.0,0.65,2.4,0.12,8.0,26.0
