split,epoch,phase,mode,episodes,total_steps,episode_return,original_episode_return,avg_reward,avg_original_reward,search_rate,found_targets,coverage_ratio,coverage_rate,error_rate,collision_count,collisions,shield_trigger_count,shield_trigger_rate,action_replacement_count,action_replacement_rate,episode_min_uav_margin,episode_mean_uav_margin,episode_min_threat_margin,episode_mean_threat_margin,near_miss_count,near_miss_rate,avg_safe_action_count,avg_rec_action_count,min_safe_action_count,min_rec_action_count,dead_end_safe_count,dead_end_safe_rate,dead_end_rec_count,dead_end_rec_rate,shield_penalty_sum,shield_penalty_rate,shield_fallback_count,shield_agent_trigger_count
train,9,dense,recursive,1,120.0,-1140.1402632029874,-1038.1402632029872,-1140.1402632029874,-1038.1402632029872,1.0,10.0,1.0,1.0,0.45727972111091103,186.0,186.0,102.0,0.85,102.0,0.85,-1.0,10.02769538066718,-2.0,7.550304159839186,106.0,0.8833333333333333,2.038333333333333,1.0175,0.0,0.0,85.0,0.7083333333333334,106.0,0.8833333333333333,102.0,0.85,85.0,817.0
train,10,dense,recursive,1,120.0,-1099.8044513697012,-1000.8044513697013,-1099.8044513697012,-1000.8044513697013,1.0,10.0,1.0,1.0,0.45633128324153077,174.0,174.0,99.0,0.825,99.0,0.825,-1.0,9.384620764466929,-2.0,9.45620310300904,108.0,0.9,1.755,0.8683333333333333,0.0,0.0,94.0,0.7833333333333333,106.0,0.8833333333333333,99.0,0.825,94.0,873.0
train,11,dense,recursive,1,120.0,-1118.822274457243,-1008.8222744572428,-1118.822274457243,-1008.8222744572428,1.0,10.0,1.0,1.0,0.45865919409317885,183.0,183.0,110.0,0.9166666666666666,110.0,0.9166666666666666,-1.0,9.848718117511664,-2.0,8.943042012214615,117.0,0.975,1.2616666666666667,0.6183333333333334,0.0,0.0,103.0,0.8583333333333333,114.0,0.95,110.0,0.9166666666666666,103.0,978.0
train,12,dense,recursive,1,120.0,-1110.4494592140265,-1001.4494592140269,-1110.4494592140265,-1001.4494592140269,1.0,10.0,1.0,1.0,0.459938677541368,199.0,199.0,109.0,0.9083333333333333,109.0,0.9083333333333333,-1.0,9.682642146166968,-2.0,8.893330724061762,108.0,0.9,1.5333333333333334,0.9183333333333332,0.0,0.0,100.0,0.8333333333333334,110.0,0.9166666666666666,109.0,0.9083333333333333,100.0,919.0
train,13,dense,recursive,1,120.0,-1243.4865210128544,-1134.4865210128546,-1243.4865210128544,-1134.4865210128546,1.0,10.0,1.0,1.0,0.455844355325732,223.0,223.0,109.0,0.9083333333333333,109.0,0.9083333333333333,-1.0,9.531641052146703,-2.0,8.219542658957566,113.0,0.9416666666666667,1.6383333333333334,0.7341666666666666,0.0,0.0,101.0,0.8416666666666667,115.0,0.9583333333333334,109.0,0.9083333333333333,101.0,920.0
train,14,dense,recursive,1,120.0,-1249.1316995486,-1135.1316995486,-1249.1316995486,-1135.1316995486,1.0,10.0,1.0,1.0,0.45756803180380146,239.0,239.0,114.0,0.95,114.0,0.95,-1.0,9.015222263669498,-2.0,8.464503510950289,114.0,0.95,0.7966666666666666,0.24000000000000005,0.0,0.0,110.0,0.9166666666666666,118.0,0.9833333333333333,114.0,0.95,110.0,1052.0
train,15,dense,recursive,1,120.0,-1116.6445607516057,-1015.6445607516065,-1116.6445607516057,-1015.6445607516065,1.0,10.0,1.0,1.0,0.4602402530022634,194.0,194.0,101.0,0.8416666666666667,101.0,0.8416666666666667,-1.0,9.567589319662368,-2.0,8.02071225814098,113.0,0.9416666666666667,2.0075,1.1983333333333335,0.0,0.0,87.0,0.725,103.0,0.8583333333333333,101.0,0.8416666666666667,87.0,816.0
train,16,dense,recursive,1,120.0,-1062.0262576347586,-958.0262576347584,-1062.0262576347586,-958.0262576347584,1.0,10.0,1.0,1.0,0.45724425299875165,179.0,179.0,104.0,0.8666666666666667,104.0,0.8666666666666667,-1.0,10.246617773111415,-2.0,8.340437720170117,115.0,0.9583333333333334,1.9708333333333334,1.0725,0.0,0.0,94.0,0.7833333333333333,110.0,0.9166666666666666,104.0,0.8666666666666667,94.0,828.0
train,17,dense,recursive,1,120.0,-649.1246515681098,-559.1246515681099,-649.1246515681098,-559.1246515681099,1.0,10.0,1.0,1.0,0.45930705488779977,81.0,81.0,90.0,0.75,90.0,0.75,-1.0,9.014268242418844,-2.0,10.45065837234705,83.0,0.6916666666666667,3.4283333333333332,2.4633333333333334,0.0,0.0,67.0,0.5583333333333333,90.0,0.75,90.0,0.75,67.0,587.0
train,18,dense,recursive,1,120.0,-1176.9701697842406,-1068.970169784241,-1176.9701697842406,-1068.970169784241,1.0,10.0,1.0,1.0,0.4613405326958606,211.0,211.0,108.0,0.9,107.0,0.8916666666666667,-1.0,10.015190206661353,-2.0,9.945360847762709,112.0,0.9333333333333333,1.4974999999999998,0.85,0.0,0.0,98.0,0.8166666666666667,108.0,0.9,108.0,0.9,98.0,934.0
train,19,dense,recursive,1,120.0,-1420.540253305025,-1312.5402533050249,-1420.540253305025,-1312.5402533050249,1.0,10.0,1.0,1.0,0.4628947150457553,277.0,277.0,108.0,0.9,108.0,0.9,-1.0,9.832851410611283,-2.0,9.276283335043228,115.0,0.9583333333333334,0.9966666666666666,0.44916666666666666,0.0,0.0,104.0,0.8666666666666667,113.0,0.9416666666666667,108.0,0.9,104.0,997.0
train,20,dense,recursive,1,120.0,-1081.6400075621805,-982.6400075621812,-1081.6400075621805,-982.6400075621812,1.0,10.0,1.0,1.0,0.46070907831397107,198.0,198.0,99.0,0.825,99.0,0.825,-1.0,9.698595731547607,-2.0,9.06904504767264,112.0,0.9333333333333333,1.9575,0.975,0.0,0.0,89.0,0.7416666666666667,106.0,0.8833333333333333,99.0,0.825,89.0,832.0
train,21,dense,recursive,1,120.0,-1258.743478290289,-1147.7434782902885,-1258.743478290289,-1147.7434782902885,1.0,10.0,1.0,1.0,0.46652880692575666,303.0,303.0,111.0,0.925,111.0,0.925,-1.0,10.256807588243577,-2.0,8.510999951901006,116.0,0.9666666666666667,0.8958333333333334,0.325,0.0,0.0,107.0,0.8916666666666667,116.0,0.9666666666666667,111.0,0.925,107.0,1037.0
train,22,dense,recursive,1,120.0,-1002.244518435447,-899.244518435447,-1002.244518435447,-899.244518435447,1.0,10.0,1.0,1.0,0.45543776144702386,181.0,181.0,103.0,0.8583333333333333,101.0,0.8416666666666667,-1.0,9.661175214923578,-2.0,9.115622812544265,106.0,0.8833333333333333,1.8166666666666667,1.1141666666666665,0.0,0.0,94.0,0.7833333333333333,105.0,0.875,103.0,0.8583333333333333,94.0,865.0
train,23,dense,recursive,1,120.0,-1088.5242447666335,-990.5242447666334,-1088.5242447666335,-990.5242447666334,1.0,10.0,1.0,1.0,0.462995970302725,195.0,195.0,98.0,0.8166666666666667,95.0,0.7916666666666666,-1.0,9.904788640030668,-2.0,8.297295035660026,107.0,0.8916666666666667,1.8066666666666669,0.8325,0.0,0.0,89.0,0.7416666666666667,108.0,0.9,98.0,0.8166666666666667,89.0,869.0
train,24,dense,recursive,1,120.0,-1233.8315656730904,-1120.8315656730902,-1233.8315656730904,-1120.8315656730902,1.0,10.0,1.0,1.0,0.46270725976307747,242.0,242.0,113.0,0.9416666666666667,113.0,0.9416666666666667,-1.0,9.738893263946041,-2.0,8.634173203282026,116.0,0.9666666666666667,0.9233333333333333,0.37833333333333324,0.0,0.0,109.0,0.9083333333333333,118.0,0.9833333333333333,113.0,0.9416666666666667,109.0,1033.0
train,25,dense,recursive,1,120.0,-907.9597197334226,-804.9597197334228,-907.9597197334226,-804.9597197334228,1.0,10.0,1.0,1.0,0.46110482136032543,165.0,165.0,103.0,0.8583333333333333,100.0,0.8333333333333334,-1.0,10.063850389327634,-2.0,8.771732555973639,104.0,0.8666666666666667,1.7966666666666669,0.9575,0.0,0.0,95.0,0.7916666666666666,109.0,0.9083333333333333,103.0,0.8583333333333333,95.0,863.0
