split,epoch,phase,mode,episodes,total_steps,episode_return,original_episode_return,avg_reward,avg_original_reward,search_rate,found_targets,coverage_ratio,coverage_rate,error_rate,collision_count,collisions,shield_trigger_count,shield_trigger_rate,action_replacement_count,action_replacement_rate,episode_min_uav_margin,episode_mean_uav_margin,episode_min_threat_margin,episode_mean_threat_margin,near_miss_count,near_miss_rate,avg_safe_action_count,avg_rec_action_count,min_safe_action_count,min_rec_action_count,dead_end_safe_count,dead_end_safe_rate,dead_end_rec_count,dead_end_rec_rate,shield_penalty_sum,shield_penalty_rate,shield_fallback_count,shield_agent_trigger_count
train,0,dense,safe,1,20.0,-101.8674189509413,-98.6674189509413,-101.8674189509413,-98.6674189509413,1.0,3.0,1.0,1.0,0.33735292702379566,22.0,22.0,16.0,0.8,15.0,0.75,-1.0,4.085183475129748,-2.0,2.051174950221438,18.0,0.9,1.3166666666666667,0.4333333333333334,0.0,0.0,16.0,0.8,18.0,0.9,3.2000000000000006,0.16000000000000003,16.0,45.0
eval,0,dense,safe,5,20.0,-108.82887321479606,-105.42887321479607,-108.82887321479606,-105.42887321479607,0.9333333333333332,2.8,0.965625,0.965625,0.3548725115707937,23.2,23.2,17.0,0.85,3.4,0.17,-0.517157287525381,2.937906400579905,-2.0,2.1427810682551445,17.8,0.89,1.2466666666666666,0.62,0.0,0.0,16.0,0.8,18.2,0.9099999999999999,3.400000000000001,0.17000000000000004,16.0,47.6
train,1,dense,safe,1,20.0,-76.97388308430274,-74.97388308430273,-76.97388308430274,-74.97388308430273,0.6666666666666666,2.0,0.84375,0.84375,0.3801942232433961,14.0,14.0,10.0,0.5,10.0,0.5,-1.0,2.500355012808604,-2.0,1.9716225575101542,9.0,0.45,2.616666666666667,1.6499999999999997,0.0,0.0,10.0,0.5,12.0,0.6,1.9999999999999998,0.09999999999999999,10.0,29.0
