split,epoch,phase,mode,episodes,total_steps,episode_return,original_episode_return,avg_reward,avg_original_reward,search_rate,found_targets,coverage_ratio,coverage_rate,error_rate,collision_count,collisions,shield_trigger_count,shield_trigger_rate,action_replacement_count,action_replacement_rate,episode_min_uav_margin,episode_mean_uav_margin,episode_min_threat_margin,episode_mean_threat_margin,near_miss_count,near_miss_rate,avg_safe_action_count,avg_rec_action_count,min_safe_action_count,min_rec_action_count,dead_end_safe_count,dead_end_safe_rate,dead_end_rec_count,dead_end_rec_rate,shield_penalty_sum,shield_penalty_rate,shield_fallback_count,shield_agent_trigger_count
train,0,dense,off,1,20.0,-107.35867658497183,-107.35867658497183,-107.35867658497183,-107.35867658497183,1.0,3.0,1.0,1.0,0.341496452043327,20.0,20.0,0.0,0.0,0.0,0.0,0.0,3.447552216173527,-2.0,2.0219204550073844,19.0,0.95,1.3166666666666669,0.6333333333333333,0.0,0.0,14.0,0.7,17.0,0.85,0.0,0.0,0.0,0.0
eval,0,dense,off,5,20.0,-69.34384280082519,-69.34384280082519,-69.34384280082519,-69.34384280082519,0.9333333333333332,2.8,0.978125,0.978125,0.35359743202545413,22.4,22.4,0.0,0.0,0.0,0.0,-0.4,3.0954814256457226,-1.8,2.552648209221512,14.2,0.71,2.32,1.7633333333333336,0.0,0.0,12.4,0.6199999999999999,13.8,0.69,0.0,0.0,0.0,0.0
train,1,dense,off,1,20.0,-78.47555173777106,-78.47555173777106,-78.47555173777106,-78.47555173777106,1.0,3.0,1.0,1.0,0.32671262665030537,18.0,18.0,0.0,0.0,0.0,0.0,0.0,3.39996699039929,-2.0,2.9756587647259414,18.0,0.9,1.2999999999999998,0.6833333333333332,0.0,0.0,15.0,0.75,17.0,0.85,0.0,0.0,0.0,0.0
